,areaWithType,area_sqft,transaction,status,property_floor,total_floor,furnishing,facing,price_per_sqft,price_Lac,property_name,description,floor_ratio,price_area_ratio,furnishing_facing
53,3.0,813.0,0.0,0.0,5.0,15.0,2.0,0.0,3507.0,28.5,1 BHK Apartment for Sale in Palanpur Surat,Multistorey apartment is available for sale. It is a good location property. Please contact for more details.Read more,0.3333333333333333,0.03505535055350553,0.0
54,3.0,990.0,0.0,0.0,6.0,14.0,2.0,0.0,2828.0,28.0,1 BHK Apartment for Sale in Palanpur Surat,"1 BHK, Multistorey Apartment is available for Sale in Palanpur, Surat for 28.0 Lac(s)Read more",0.42857142857142855,0.028282828282828285,0.0
55,1.0,500.0,1.0,1.0,6.0,13.0,0.0,0.0,3636.0,28.0,1 BHK Apartment for Sale in Jahangir Pura Surat,new bulding with good farnichar middal floor,0.46153846153846156,0.056,0.0
56,1.0,452.0838,1.0,1.0,1.0,2.0,2.0,0.0,1951.0,9.0,2 BHK  House for Sale in Nansad Surat,"House at Block No. 81171, Plot No. 71, Vraj Nandini Residency Vibhag 2,  Vill. Nansad, Taluka Kamrej, Dist. SuratRead more",0.5,0.019907813551381402,0.0
57,3.0,970.0,1.0,1.0,7.0,11.0,1.0,0.0,3093.0,30.0,2 BHK Apartment for Sale in Adajan Surat,3bhk Fully FURNISHED,0.6363636363636364,0.030927835051546393,0.0
58,3.0,1180.0,1.0,1.0,6.0,6.0,2.0,8.0,2712.0,32.0,2 BHK Apartment for Sale in Jahangir Pura Surat,"Discover a cozy haven nestled in the vibrant neighborhood of Jahangir Pura, Surat. This 2 BHK flat for sale offers a perfect blend of comfort and convenience, ideal for those seeking a modern urban lifestyle. With its thoughtful design and prime location, this property promises a serene living experience in the heart of the city.Property SpecificationsSpanning a super area of 1180 sqft, this 2 BHK flat resides on the fifth floor of a well-maintained 5-storey building, offering a serene retreat away from the city's hustle and bustle.Upon entering, you are greeted by an airy living cum dining area, providing ample space for relaxation and entertainment. The unfurnished interiors allow for personalized touches to make this space truly your own. Adjoining the living area is a balcony that offers a picturesque view of the surrounding buildings, perfect for enjoying your morning coffee or unwinding after a long day.This flat boasts two bedrooms, each designed to provide comfort and privacy. Also, there are two western-style bathrooms, one of which is attached to a bedroom, while a common bathroom serves the needs of guests and residents alike.The heart of this home is its well-equipped kitchen, complete with a piped gas connection and a utility area for added convenience. The flooring throughout the flat is adorned with sleek vitrified tiles, enhancing the overall aesthetic appeal while ensuring easy maintenance.FacilitiesResidents will enjoy a host of amenities designed to elevate their living experience. Covered parking ensures the safety of your vehicle, while round-the-clock water supply and security guard services offer peace of mind. CCTV surveillance and a dedicated lift further enhance the safety and convenience of this residence.LocalityJahangir Pura, Surat, is a bustling residential locality known for its vibrant atmosphere and convenient amenities. The area is well-connected to the city center and other key areas, making it an ideal choice for those seeking a blend of urban convenience and suburban tranquility. With its proximity to schools, colleges, hospitals, shopping centers, and recreational facilities, Jahangir Pura provides a comfortable and convenient lifestyle for its residents.Read more",1.0,0.02711864406779661,16.0
59,1.0,750.0,1.0,1.0,4.0,6.0,2.0,0.0,3304.0,38.0,2 BHK Apartment for Sale in Palanpur Surat,"2 BHK Exclusive Wind Direction Flat For Sale Nr. Raj World Palanpur.Road Side View, Garden View, Wind Direction, East Facing, South West Open Flat. For Sale.Read more",0.6666666666666666,0.050666666666666665,0.0
60,1.0,1100.0,1.0,1.0,3.0,6.0,0.0,0.0,3409.5,40.0,2 BHK Apartment for Sale in Shardhaa Surat,"Multistorey apartment is available for sale. Nice campus location, CCTV allow, garden space allow.Read more",0.5,0.03636363636363636,0.0
61,3.0,1000.0,1.0,1.0,3.0,5.0,0.0,0.0,3951.0,39.5,2 BHK Apartment for Sale in Adajan Surat,short distance from surat station,0.6,0.0395,0.0
62,3.0,813.0,0.0,0.0,8.0,15.0,2.0,0.0,3567.0,29.0,1 BHK Apartment for Sale in Bhesan Road Surat,Ugat bhesan road surat near metro stationAnd near garden vegetable market good locationRead more,0.5333333333333333,0.03567035670356704,0.0
63,3.0,550.0,1.0,1.0,6.0,6.0,2.0,0.0,3636.0,20.0,1 BHK Apartment for Sale in Katar Gam Surat,"1 BHK, Multistorey Apartment is available for Sale in Katar Gam, Surat for 20.0 Lac(s)Read more",1.0,0.03636363636363636,0.0
64,3.0,800.0,1.0,1.0,2.0,5.0,0.0,8.0,3750.0,30.0,1 BHK Apartment for Sale in Bhatar Surat,road facing,0.4,0.0375,0.0
65,3.0,280.0,1.0,1.0,2.0,5.0,3.0,8.0,12857.0,36.0,  Office Space for Sale in Katar Gam Surat,"  Commercial Office Space is available for Sale in Katar Gam, Surat for 36.0 Lac(s)Read more",0.4,0.12857142857142856,24.0
66,1.0,450.0,1.0,1.0,2.0,6.0,2.0,8.0,3909.0,21.5,1 BHK Apartment for Sale in Adajan Surat,"1 BHK, Multistorey Apartment is available for Sale in Adajan, Surat for 21.50 Lac(s)Read more",0.3333333333333333,0.04777777777777778,16.0
67,3.0,1250.0,1.0,1.0,3.0,5.0,0.0,8.0,3600.0,45.0,2 BHK Apartment for Sale in Adajan Surat,"Fully furnished ready to move in HOUSE . With Ac , washing machineRead more",0.6,0.036,0.0
68,3.0,800.0,1.0,1.0,4.0,5.0,2.0,8.0,1312.0,10.5,2 BHK Builder Floor for Sale in Varachha Surat,"2 BHK, Builder Floor Apartment is available for Sale in Varachha, Surat for 10.50 Lac(s)Read more",0.8,0.013125,16.0
69,3.0,1267.0,1.0,1.0,3.0,5.0,0.0,3.0,3946.0,50.0,2 BHK Builder Floor for Sale in Nana Varachha Surat,"2 BHK, Builder Floor Apartment is available for Sale in Nana Varachha, Surat for 50.0 Lac(s)Read more",0.6,0.03946329913180742,0.0
70,3.0,1200.0,1.0,2.0,3.0,5.0,0.0,8.0,3333.0,40.0,2 BHK Apartment for Sale in Adajan Surat,"2 BHK multistorey apartment is available for sale with kitchen, dining table, double bed, wardrobe, computer table etc. 24 Hours electricity with power generator, security and well maintained building. Please contact for more details.Read more",0.6,0.03333333333333333,0.0
71,1.0,600.0,1.0,1.0,5.0,7.5,2.0,0.0,3000.0,18.0,1 BHK  House for Sale in Kadodara Surat,good,0.6666666666666666,0.03,0.0
72,1.0,750.0,1.0,1.0,8.0,11.0,2.0,8.0,4111.0,37.0,2 BHK Apartment for Sale in Citylight Area Surat," This spacious Home is on floor 7 of 10 and is built up in 900 Sq-ft. It is a well-designed spacious Home situated in Citylight Area. Offering 2 bedroom and 2 spacious bathrooms, the Home is Unfurnished. 37 Lac is the expected price of Home. Read more",0.7272727272727273,0.04933333333333333,16.0
73,1.0,432.0,0.0,1.0,1.0,2.0,2.0,0.0,2315.0,10.0,1 BHK  House for Sale in Sayan Surat,"1 BHK, Residential House is available for Sale in Sayan, Surat for 10.0 Lac(s)Read more",0.5,0.023148148148148147,0.0
74,3.0,1600.0,1.0,1.0,10.0,14.0,2.0,8.0,1875.0,30.0,3 BHK Apartment for Sale in Jahangirabad Surat,"3 BHK, Multistorey Apartment is available for Sale in Jahangirabad, Surat for 30.0 Lac(s)Read more",0.7142857142857143,0.01875,16.0
75,1.0,450.0,1.0,1.0,6.0,6.0,2.0,8.0,3333.0,18.0,1 BHK Apartment for Sale in Katargam Surat,"1 BHK, Multistorey Apartment is available for Sale in Katargam, Surat for 18.0 Lac(s)Read more",1.0,0.04,16.0
76,1.0,441.0,1.0,1.0,4.0,6.0,2.0,4.0,3509.0,23.5,1 BHK Apartment for Sale in Palanpur Surat,"1 BHK, Multistorey Apartment is available for Sale in Palanpur, Surat for 23.51 Lac(s)Read more",0.6666666666666666,0.05328798185941043,8.0
77,3.0,850.0,1.0,1.0,4.0,5.0,1.0,8.0,2941.0,25.0,2 BHK Apartment for Sale in Aarav Apartment Surat,"very close of evey useful need like hospital railway station, bus station, sabji marketRead more",0.8,0.029411764705882353,8.0
78,3.0,753.473,1.0,1.0,-1.0,6.0,3.0,8.0,3320.0,25.0,  Office Space for Sale in Shahpore Surat,"Commercial office space is available for sale. It covered area of 70 sq-m, it is a good location property. Please contact formore details.Read more",-0.16666666666666666,0.033179689252302344,24.0
79,1.0,1230.0,1.0,1.0,10.0,14.0,1.0,0.0,3100.0,30.0,2 BHK Apartment for Sale in Vatsalya Avenue Surat,"Specious flat with full sunlight from all side. 24x7 SMC water,3 lift, wide coridorRead more",0.7142857142857143,0.024390243902439025,0.0
